Movie,Year
Oppenheimer,2023
Poor Things,2023
Killers of the Flower Moon,2023
Barbie,2023
Maestro,2023
American Fiction,2023
Anatomy of a Fall,2023
The Holdovers,2023
The Zone of Interest,2023
Napoleon,2023
The Creator,2023
Mission: Impossible – Dead Reckoning Part One,2023
Nyad,2023
Past Lives,2023
Society of the Snow,2023
